department,muni,year,rural_pop,urban_pop,total_pop,area,altitude,discapital,la_violencia,ocup_espan,land_conflicts,homicides,coca_hectares,coca,farc_attacks,para_attacks
Antioquia,Medellín,1993,81590,1711901,1793491,387,1486,0,0,0,0,NA,0,0,1,0
Antioquia,Medellín,1994,79331,1752866,1832197,387,1486,0,0,0,0,NA,0,0,5,0
Antioquia,Medellín,1995,75756,1796485,1872241,387,1486,0,0,0,0,NA,0,0,3,0
Antioquia,Medellín,1996,71277,1841583,1912860,387,1486,0,0,0,0,NA,0,0,2,0
Antioquia,Medellín,1997,66305,1886988,1953293,387,1486,0,0,0,0,NA,0,0,4,1
Antioquia,Medellín,1998,61254,1931527,1992781,387,1486,0,0,0,0,NA,0,0,4,1
Antioquia,Medellín,1999,56534,1974026,2030560,387,1486,0,0,0,0,NA,0,0,3,0
Antioquia,Medellín,2000,52559,2013312,2065871,387,1486,0,0,0,0,NA,0,0,0,2
Antioquia,Medellín,2001,49479,2049139,2098618,387,1486,0,0,0,0,NA,0,0,1,11
Antioquia,Medellín,2002,46566,2083308,2129874,387,1486,0,0,0,0,NA,0,0,12,2
Antioquia,Medellín,2003,43816,2115793,2159609,387,1486,0,0,0,0,1938,0,0,1,1
Antioquia,Medellín,2004,41233,2146598,2187831,387,1486,0,0,0,0,1074,0,0,0,1
Antioquia,Medellín,2005,38813,2175681,2214494,387,1486,0,0,0,0,755,0,0,0,0
Antioquia,Medellín,2006,37668,2201335,2239003,387,1486,0,0,0,0,709,0,0,0,0
Antioquia,Medellín,2007,36575,2228669,2265244,387,1486,0,0,0,0,654,0,0,2,0
Antioquia,Medellín,2008,35533,2255845,2291378,387,1486,0,0,0,0,871,0,0,0,0
Antioquia,Medellín,2009,34542,2282794,2317336,387,1486,0,0,0,0,1432,0,0,0,0
Antioquia,Medellín,2010,33603,2309446,2343049,387,1486,0,0,0,0,1408,0,0,0,0
Antioquia,Medellín,2011,32714,2335568,2368282,387,1486,0,0,0,0,1563,0,0,NA,NA
