state_2018,birth_year,sex,race,party_id,ideo5_2019,newsint_2019,pew_religimp_2019,faminc_new_2019,educ_2019,ft_black_2017,ft_hisp_2017,ft_asian_2017,diff_inc_2019
New York,1931,Female,Hispanic,Democrat,3,1,3,6,5,51,79,50,2
Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,95,100,NA
Illinois,1931,Male,White,Independent,3,1,4,6,2,87,91,88,1
Massachusetts,1952,Male,White,Republican,4,1,1,7,5,90,90,96,5
California,1939,Female,White,Democrat,1,1,4,5,4,100,100,100,1
NA,1959,Female,Black,Democrat,2,1,1,12,6,98,99,100,2
Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,26,50,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,71,NA
Not Asked,1961,Female,White,Democrat,2,1,4,3,3,72,71,71,1
New York,1961,Female,White,Independent,2,1,3,NA,5,77,76,76,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,74,74,NA
Kansas,1963,Female,White,Democrat,1,1,2,10,6,100,100,100,1
Nebraska,1947,Female,White,Independent,2,1,3,6,6,88,86,96,2
New Mexico,1958,Female,White,Independent,3,1,1,NA,5,83,88,81,2
Massachusetts,1960,Male,White,Democrat,4,1,4,4,5,100,100,100,1
California,1958,Male,White,Republican,4,2,1,5,5,50,75,75,5
New Hampshire,1942,Male,White,Independent,2,1,4,14,5,90,90,90,2
NA,1962,Male,White,Republican,4,1,3,11,6,9,51,66,5
Not Asked,1945,Female,Hispanic,Democrat,3,2,2,5,3,94,100,91,4
California,1951,Female,White,Republican,4,1,2,3,5,6,30,31,4
NA,1975,Male,White,Independent,3,1,1,13,5,0,79,79,5
NA,1961,Male,Asian,Independent,3,1,2,13,5,91,91,91,4
NA,1961,Female,White,Independent,3,1,2,14,5,78,75,81,5
Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,91,NA
Illinois,1948,Male,White,Republican,4,1,1,4,3,82,85,85,5
New York,1951,Male,White,Republican,4,1,1,5,2,51,51,51,4
NA,1966,Male,White,Democrat,3,1,4,8,3,100,100,100,5
Michigan,1964,Female,White,Republican,5,1,2,NA,6,94,97,99,5
NA,1942,Male,White,Republican,5,1,1,10,4,65,41,74,5
Arizona,1963,Male,White,Independent,3,1,1,3,3,49,46,70,5
California,1948,Male,Hispanic,Democrat,3,1,4,8,5,93,86,87,3
Maryland,1957,Female,White,Democrat,1,1,4,2,3,88,94,95,2
Idaho,1939,Male,White,Democrat,3,1,4,3,2,81,80,79,3
Michigan,1952,Male,White,Republican,5,1,1,7,4,50,50,50,5
Not Asked,1968,Male,White,Republican,4,1,4,4,5,0,0,0,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,48,34,NA
Oregon,1950,Male,White,Republican,5,1,2,11,6,95,95,95,5
Arizona,1950,Male,White,Democrat,2,1,4,6,4,91,90,91,2
West Virginia,1972,Male,White,Independent,3,2,2,10,4,100,100,100,4
Illinois,1940,Male,White,Democrat,1,1,4,7,5,100,100,100,2
California,1958,Male,White,Democrat,2,1,4,NA,5,81,31,100,2
Virginia,1961,Female,Black,Independent,3,1,1,NA,6,100,50,50,3
Virginia,1979,Male,White,Democrat,2,1,4,10,5,66,66,74,1
Minnesota,1955,Female,White,Independent,3,1,1,NA,6,52,51,51,4
Alaska,1972,Male,White,Republican,4,1,4,8,6,99,100,99,5
NA,1970,Male,White,Independent,4,2,1,14,6,100,52,85,5
New York,1950,Male,White,Democrat,2,1,3,12,6,90,95,90,1
Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,81,98,NA
Massachusetts,1941,Female,White,Independent,3,1,2,2,2,79,81,95,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,51,75,NA
NA,1952,Male,Black,Independent,2,1,4,11,4,100,74,75,2
California,1952,Male,White,Independent,1,1,4,13,5,100,100,100,2
NA,1974,Female,White,Independent,1,2,1,7,4,100,95,75,2
California,1955,Male,White,Independent,3,1,2,6,4,29,70,NA,5
NA,1948,Male,White,Independent,5,1,3,7,3,60,51,60,5
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,100,100,NA
NA,1954,Female,White,Republican,4,1,4,7,5,90,75,97,3
Massachusetts,1954,Male,White,Independent,3,2,4,13,6,70,70,71,3
Virginia,1950,Female,White,Independent,5,1,1,9,6,50,75,94,5
New Jersey,1950,Male,White,Democrat,3,1,4,15,5,76,85,100,2
NA,1941,Male,White,Republican,4,1,1,5,3,99,99,97,5
Iowa,1940,Male,White,Democrat,3,2,1,8,3,60,64,51,4
North Carolina,1961,Male,Asian,Independent,3,1,4,12,6,73,73,99,3
New York,1967,Female,White,Republican,4,1,1,9,6,53,55,53,5
NA,1957,Male,White,Republican,4,1,2,11,2,78,77,55,5
Kansas,1980,Female,Black,Other,1,1,2,8,6,98,88,79,1
New York,1961,Female,White,Democrat,3,1,2,6,2,100,97,51,1
New York,1965,Female,Hispanic,Republican,5,1,1,NA,5,50,53,50,5
Maryland,1969,Female,White,Democrat,2,1,4,12,5,89,88,94,2
Indiana,1958,Male,White,Independent,4,1,1,9,6,91,90,95,5
New Jersey,1936,Female,White,Democrat,3,1,1,9,5,98,91,91,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,63,89,NA
NA,1969,Female,White,Independent,2,2,1,12,3,51,51,51,2
NA,1952,Male,Mixed,Independent,3,1,2,12,6,91,90,91,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,77,86,NA
New Jersey,1956,Female,White,Democrat,1,1,2,8,5,85,72,69,1
New York,1955,Male,White,Democrat,3,1,1,12,5,100,100,100,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,77,69,NA
NA,1952,Female,White,Democrat,3,2,4,12,6,80,50,50,1
NA,1959,Male,White,Democrat,1,1,1,3,2,82,99,100,2
District of Columbia,1953,Female,White,Republican,5,1,2,9,5,40,49,49,5
Arizona,1970,Male,White,Independent,1,2,3,13,6,80,82,81,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,61,57,NA
Missouri,1956,Female,White,Democrat,2,1,1,1,3,100,97,96,3
NA,1965,Female,White,Republican,4,1,1,NA,4,52,31,51,5
Skipped,1954,Female,White,Independent,3,1,3,NA,2,75,75,60,5
Connecticut,1985,Male,White,Independent,3,2,4,11,3,41,50,60,4
Wisconsin,1983,Female,White,Independent,5,2,1,4,3,31,75,59,5
California,1972,Male,Hispanic,Independent,2,1,4,13,6,90,91,92,2
California,1970,Male,Other,Other,4,1,4,11,3,100,100,100,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,89,NA
Not Asked,1970,Female,Black,Democrat,1,1,2,12,6,72,40,70,1
NA,1959,Male,White,Republican,3,1,3,NA,5,75,90,100,5
Texas,1954,Male,Mixed,Republican,4,2,2,NA,3,51,50,51,5
Pennsylvania,1960,Male,White,Democrat,2,1,4,NA,6,45,51,59,2
Texas,1982,Male,Hispanic,Other,3,1,2,12,5,97,98,99,5
Indiana,1972,Male,White,Independent,3,2,4,7,5,70,65,65,2
Pennsylvania,1935,Male,White,Republican,4,1,1,NA,5,69,50,69,5
Mississippi,1949,Male,White,Democrat,3,2,2,NA,3,84,60,51,2
Oregon,1952,Female,White,Democrat,2,1,2,4,6,93,92,83,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,NA
New York,1956,Male,White,Democrat,3,2,2,NA,3,70,71,71,2
New Jersey,1959,Male,White,Republican,5,1,3,16,6,56,51,62,5
North Dakota,1969,Male,White,Independent,5,1,1,11,3,99,52,51,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,NA
Iowa,1970,Male,White,Democrat,2,1,4,16,6,92,90,100,2
Massachusetts,1962,Male,White,Republican,4,4,3,12,6,31,50,51,5
Pennsylvania,1968,Male,White,Independent,2,1,4,6,5,80,80,81,3
Not Asked,1956,Male,White,Democrat,2,1,4,13,5,95,96,51,5
NA,1945,Male,White,Independent,4,1,2,15,6,78,100,100,5
Texas,1965,Male,White,Democrat,2,1,4,11,5,81,89,88,2
Not Asked,1949,Male,White,Democrat,3,2,1,5,2,38,96,24,4
Wisconsin,1965,Male,White,Republican,4,1,3,9,2,25,50,25,5
Oregon,1957,Female,White,Independent,3,1,4,5,4,80,81,80,5
Pennsylvania,1955,Female,White,Democrat,3,1,1,NA,5,100,100,100,2
Idaho,1951,Female,White,Independent,4,1,1,9,5,97,98,100,5
Minnesota,1940,Female,White,Independent,3,1,1,2,3,73,74,71,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,78,80,NA
Michigan,1981,Male,White,Republican,5,2,1,8,5,98,99,98,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,70,70,NA
Pennsylvania,1962,Female,Other,Democrat,4,1,1,NA,3,100,100,99,5
New York,1954,Female,Hispanic,Independent,3,2,2,3,3,98,100,87,3
Michigan,1966,Male,White,Other,5,1,1,3,3,35,75,60,5
Iowa,1979,Male,White,Independent,4,1,1,11,6,70,81,84,5
Ohio,1962,Male,White,Republican,5,1,4,NA,5,41,47,56,5
NA,1955,Female,White,Independent,3,3,4,8,3,81,90,100,4
Illinois,1952,Male,White,Republican,4,1,2,11,4,50,89,90,5
