leader,startdate,enddate,angloedu,westedu,noedu,polity2change,BMRtransition,ethfrac,britcolony,igdp,ioil,usally,studentflowthousand
A. Nastase,28/12/2000,21/12/2004,0,0,0,0,0,0.2521630525588989,0,0.0514843017578125,0,0,0.3149999976158142
AL-Sallal,27/09/1962,05/11/1967,0,0,1,3,0,0.037243664264678955,1,0.010772700195312498,0,0,0.013000000268220901
Abacha,17/11/1993,08/06/1998,0,0,1,-1,0,0.868931770324707,1,0.0108147998046875,1,0,2.2160000801086426
Abboud,18/11/1958,01/11/1964,0,0,0,-15,0,0.7350702881813049,1,0.009975900268554687,0,0,0.017000000923871994
Abdoulaye Wade,02/04/2000,31/12/2004,0,1,0,9,1,0.7227722406387329,0,0.014923800048828125,0,0,0.5709999799728394
Abdullah,01/01/1996,31/12/2004,0,0,1,0,0,0.05857950448989868,0,0.16932560546875,1,0,4.190999984741211
Abdullah As-Sabah,29/01/1950,24/11/1965,0,0,1,0,NA,0.18468618392944336,1,0.6491351,1,0,0
Abdullah Ibn Hussein El-Hashimi,07/02/1999,31/12/2004,1,1,0,0,0,0.046628594398498535,1,0.03911800048828125,0,0,0.1469999998807907
Acheampong,13/01/1972,05/07/1978,0,0,0,-10,0,0.7061232924461365,1,0.01141300048828125,0,0,0.6470000147819519
Adami,06/09/1998,31/12/2004,0,0,0,NA,0,NA,1,0.1657226953125,NA,0,0.04800000041723251
Adami,12/05/1987,28/10/1996,0,0,0,NA,0,NA,1,0.10051980468749999,NA,0,0.03799999877810478
Adamkus,26/02/1998,25/02/2003,1,1,0,0,0,0.34649068117141724,0,0.08299389648437501,0,0,0.3190000057220459
Adams,08/10/1976,11/03/1985,1,1,0,NA,0,NA,1,0.11534480468750001,NA,1,0.1379999965429306
Afeworki,24/05/1993,31/12/2004,0,0,1,-1,NA,0.5874999761581421,0,0.0056825,0,0,0
Ahidjo,01/01/1960,06/11/1982,0,0,1,-2,NA,0.8918985724449158,0,0.0091948,0,0,0.006000000052154064
Akayev,27/10/1990,31/12/2004,0,0,0,0,NA,0.662595272064209,0,0.034841,0,0,0
Al-Assad H.,22/02/1971,10/06/2000,0,0,1,0,0,0.223094642162323,0,0.010608900146484374,0,0,0.4690000116825104
Al-Bashir,30/06/1989,31/12/2004,0,0,1,-13,0,0.7350702881813049,1,0.01027739990234375,0,0,0.4959999918937683
Al-Hamadi,13/06/1974,11/10/1977,0,0,1,-1,0,0.037243664264678955,1,0.01301050048828125,0,0,0.020999999716877937
Al-Iryani,05/11/1967,13/06/1974,0,0,0,0,0,0.037243664264678955,1,0.010772700195312498,0,0,0.014999999664723873
Al-Mirghani,06/05/1986,30/06/1989,1,1,0,7,1,0.7350702881813049,1,0.009694299926757813,0,0,0.5339999794960022
Alejandro Toledo,28/07/2001,31/12/2004,1,1,0,4,1,0.5896865129470825,0,0.042045000000000006,0,0,2.7850000858306885
Aleman,10/01/1997,10/01/2002,0,0,0,0,0,0.17932868003845215,0,0.032868701171875,0,0,0.6579999923706055
Alfonsin,10/12/1983,08/07/1988,0,0,0,16,1,0.30731916427612305,0,0.09511019531249999,0,1,1.1690000295639038
Alfonso Portillo Cabrera,15/01/2000,14/01/2004,0,0,0,0,0,0.6436841487884521,0,0.03824169921875,0,0,0.9900000095367432
Ali Didi,02/09/1953,12/12/1957,0,0,1,NA,NA,NA,1,0.0062616,NA,0,0
Ali Nassir Hassani,02/04/1980,24/01/1986,0,0,1,0,0,0.1722642183303833,1,0.005580000000000001,0,0,0.0020000000949949026
Ali Rubayyi,24/06/1969,26/06/1978,0,0,1,-2,0,0.1722642183303833,1,0.00407,0,0,0.017000000923871994
Alia,13/04/1985,03/04/1992,0,0,0,10,0,0.08787798881530762,0,0.0396152001953125,0,0,0.0010000000474974513
Alvarez Armalino,01/09/1981,01/03/1985,0,0,1,0,0,0.1981624960899353,0,0.086208203125,0,1,0.2150000035762787
Amad Al Thani,27/06/1995,31/12/2004,0,0,1,0,0,NA,1,0.25532509765625,NA,0,0.4269999861717224
"Amin, Idi",25/01/1971,11/04/1979,0,0,1,0,0,0.8994653224945068,1,0.010581700439453126,0,0,0.25699999928474426
An-Nahayan,02/12/1971,31/12/2004,0,0,1,0,NA,0.180867999792099,1,0.1091562,1,0,0
Anastasio Somoza Debayle,01/05/1967,17/07/1979,0,0,1,0,0,0.17932868003845215,0,0.0583314990234375,0,1,0.28600001335144043
Anastasio Somoza Garcia,26/05/1947,29/09/1956,1,1,0,0,0,0.17932868003845215,0,0.021885703125,0,1,0.08500000089406967
Andres Perez,02/02/1989,31/08/1993,0,0,0,-1,0,0.10734701156616211,0,0.08148029785156251,1,1,2.640000104904175
Andres Perez,12/03/1974,12/03/1979,0,0,0,0,0,0.10734701156616211,0,0.078215498046875,1,1,1.965000033378601
Anerood Jugnauth,18/09/2000,30/09/2003,1,1,0,0,0,0.580323338508606,1,0.140653896484375,0,0,0.1889999955892563
Anerood Jugnauth,16/06/1982,22/12/1995,1,1,0,1,0,0.580323338508606,1,0.0635593994140625,0,0,0.09200000017881393
Ankrah,24/02/1966,03/04/1969,0,0,1,2,0,0.7061232924461365,1,0.003320899963378906,0,0,0.28200000524520874
Aquino,25/02/1986,30/06/1992,1,1,0,14,1,0.745177149772644,0,0.02913669921875,0,1,3.364000082015991
Arana Osorio,01/07/1970,01/07/1974,0,0,1,-2,0,0.6436841487884521,0,0.0310252001953125,0,1,0.3190000057220459
Arango,07/08/1998,07/08/2002,1,1,0,0,0,0.06015270948410034,0,0.061913598632812504,0,0,4.34499979019165
Arbenz Guzman,01/03/1951,27/06/1954,0,0,1,0,0,0.6436841487884521,0,0.02295159912109375,0,1,0.22699999809265137
Arias,08/05/1986,08/05/1990,1,1,0,0,0,0.07109004259109497,0,0.061147001953125,0,1,0.6190000176429749
Aristide,08/02/2001,29/02/2004,0,1,0,0,0,0.013591229915618896,0,0.020692900390625,0,0,1.1449999809265137
Arthur,07/09/1994,31/12/2004,0,0,0,NA,0,NA,1,0.132604697265625,NA,0,0.460999995470047
Arzu Yrigoyen,14/01/1996,14/01/2000,0,0,0,5,0,0.6436841487884521,0,0.0361125,0,0,0.7749999761581421
Attas,24/01/1986,22/05/1990,0,0,1,1,0,0.1722642183303833,1,0.007019999999999999,0,0,0.03400000184774399
Ayatollah Khomeini,01/02/1979,03/06/1989,0,0,1,4,0,0.7565816640853882,0,0.066552998046875,1,1,30.98900032043457
Ayub Khan,07/10/1958,25/03/1969,0,0,1,-7,0,0.6445090174674988,1,0.008147899780273438,0,1,0.37299999594688416
Azcona Hoyo,27/01/1986,27/01/1990,0,0,0,1,0,0.16173255443572998,0,0.023368100585937503,0,1,0.9309999942779541
Babangida,27/08/1985,26/08/1993,0,0,1,2,0,0.868931770324707,1,0.008966099853515626,1,0,15.70300006866455
Bagabandi,20/06/1997,31/12/2004,0,0,0,0,0,0.3832249641418457,0,0.014136400146484375,0,0,0.0989999994635582
Bagaza,09/11/1976,03/09/1987,0,0,1,0,0,0.03551065921783447,0,0.007982600097656249,0,0,0
Balaguer,16/08/1986,16/08/1996,0,1,0,-1,0,0.036988794803619385,0,0.04179990234375,0,1,0.628000020980835
Balaguer,01/07/1966,01/07/1978,0,1,0,-3,1,0.036988794803619385,0,0.023170900878906248,0,1,0.21400000154972076
Balewa,01/10/1960,15/01/1966,1,1,0,-1,NA,0.868931770324707,1,0.0110578,0,0,0.20900000631809235
Balladares,01/09/1994,01/09/1999,1,1,0,1,0,0.26085156202316284,0,0.0699927001953125,0,0,1.5449999570846558
Banda,06/07/1964,21/05/1994,1,1,0,1,NA,0.6202696561813354,1,0.0045906,0,0,0
"Bandaranaike, S",31/05/1970,23/01/1977,0,0,1,1,0,0.46704143285751343,1,0.011753599853515626,0,0,0.1289999932050705
"Bandaranaike, S",22/07/1960,25/03/1965,0,0,1,0,0,0.46704143285751343,1,0.008231300048828126,0,0,0.06199999898672104
"Bandaranaike, S.W.R.D.",12/04/1956,26/09/1959,1,1,0,0,0,0.46704143285751343,1,0.008998599853515626,0,0,0.03400000184774399
Banzer Suarez,06/08/1997,07/08/2001,0,0,1,0,0,0.678132951259613,0,0.0279425,0,0,0.7210000157356262
Banzer Suarez,22/08/1971,21/07/1978,0,0,1,-2,0,0.678132951259613,0,0.025461298828125,0,1,0.460999995470047
Barrow,18/11/1966,08/09/1976,1,1,0,NA,NA,NA,1,0.0831298,NA,1,0.10599999874830246
