groupid,name,year,failure,allies,alliesties,size,religious,ethnic,logpop,namerica,latamerica,ssafrica,meast,asia,cinc,civilwar,decap,spline1,spline2,spline3,democracy,interact,interact_allies,lgdp,gdpb,popt,gdppercap,size1,size2,size3
9,April 19 Movement (M-19),1987,0,11,0.45991280674934387,2,0,0,17.250858306884766,0,1,0,0,0,0.004025499802082777,1,0,0,0,0,1,0,0,24.317100524902344,36.37330627441406,31042206,1171.7371826171875,0,1,0
9,April 19 Movement (M-19),1988,0,11,0.45991280674934387,2,0,0,17.2709903717041,0,1,0,0,0,0.0039380998350679874,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,1,0,0,24.392263412475586,39.21255111694336,31673482,1238.024658203125,0,1,0
9,April 19 Movement (M-19),1989,0,11,0.45991280674934387,2,0,0,17.290807723999023,0,1,0,0,0,0.004148799926042557,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,1,0,0,24.40058135986328,39.54008102416992,32307428,1223.86962890625,0,1,0
9,April 19 Movement (M-19),1990,1,10,0.45991280674934387,2,0,0,17.310699462890625,0,1,0,0,0,0.004306199960410595,1,0,-22.5,-18,-10.5,1,0,0,24.418977737426758,40.27420425415039,32956514,1222.040771484375,0,1,0
10,Armed Forces of National Resistance,1987,0,2,0.047643523663282394,1,0,0,15.392878532409668,0,1,0,0,0,6.710999878123403e-4,1,0,0,0,0,0,0,0,22.099016189575195,3.958045721054077,4842194,817.40753173828125,1,0,0
10,Armed Forces of National Resistance,1988,0,2,0.047643523663282394,1,0,0,15.410929679870605,0,1,0,0,0,6.576000014320016e-4,1,0,-0.8333333134651184,-0.6666666865348816,-0.3888888955116272,0,0,0,22.15593719482422,4.189879894256592,4930395,849.80615234375,1,0,0
10,Armed Forces of National Resistance,1989,0,2,0.047643523663282394,1,0,0,15.428048133850098,0,1,0,0,0,6.621999782510102e-4,1,0,-6.666666507720947,-5.333333492279053,-3.1111111640930176,0,0,0,22.198535919189453,4.372215270996094,5015522.5,871.73675537109375,1,0,0
10,Armed Forces of National Resistance,1990,0,2,0.047643523663282394,1,0,0,15.444727897644043,0,1,0,0,0,7.138000219129026e-4,1,0,-22.5,-18,-10.5,0,0,0,22.292068481445312,4.800899982452393,5099881.5,941.37481689453125,1,0,0
10,Armed Forces of National Resistance,1991,1,2,0.047643523663282394,1,0,0,15.461397171020508,0,1,0,0,0,8.061000262387097e-4,1,0,-52.33333206176758,-42.66666793823242,-24.88888931274414,1,0,0,22.39304542541504,5.310999870300293,5185605.5,1024.1812744140625,1,0,0
21,Cinchoneros Popular Liberation Movement,1987,0,3,0.04009293019771576,1,0,0,15.290777206420898,0,1,0,0,0,4.827000084333122e-4,0,0,0,0,0,0,0,0,22.146976470947266,4.152500152587891,4372201.5,949.7503662109375,1,0,0
