birth_year,sex,race,party_id,crime,economy,immigration,family_medical_leave,abortion,gay_rights,health_care
1931,Female,Hispanic,Democrat,3,3,3,4,2,3,4
1931,Male,White,Independent,4,4,4,3,3,4,4
1959,Male,White,Independent,4,4,1,2,1,3,4
1952,Male,White,Republican,4,4,4,3,4,4,4
1939,Female,White,Democrat,3,3,3,2,4,3,4
1959,Female,Black,Democrat,4,4,4,2,1,3,4
1961,Female,White,Democrat,3,4,3,3,4,3,4
1961,Female,White,Independent,3,4,2,4,4,3,4
1963,Female,White,Democrat,3,3,3,3,4,3,4
1947,Female,White,Independent,3,4,4,3,2,4,4
1958,Female,White,Independent,3,3,3,4,4,2,4
1960,Male,White,Democrat,2,4,1,3,3,2,4
1958,Male,White,Republican,4,4,4,1,2,3,2
1942,Male,White,Independent,3,4,3,3,2,3,4
1983,Male,White,Democrat,4,4,3,2,4,4,4
1962,Male,White,Republican,4,4,4,1,1,4,4
1945,Female,Hispanic,Democrat,4,4,3,2,3,3,4
1951,Female,White,Republican,3,4,4,2,2,1,4
1975,Male,White,Independent,3,4,2,2,2,2,3
1961,Male,Asian,Independent,4,4,4,3,3,3,4
1961,Female,White,Independent,4,4,4,1,2,3,1
1948,Male,White,Republican,3,4,4,2,4,4,3
1956,Male,Hispanic,Republican,4,4,4,4,4,4,4
1951,Male,White,Republican,4,4,4,2,4,4,4
1939,Female,White,Republican,4,4,4,3,4,4,3
1952,Female,White,Republican,3,4,4,3,3,4,4
1966,Male,White,Democrat,4,4,4,4,4,4,4
1964,Female,White,Republican,4,4,4,3,3,4,3
1942,Male,White,Republican,4,4,4,3,4,4,4
1963,Male,White,Independent,3,4,4,1,3,3,4
1948,Male,Hispanic,Democrat,3,4,3,3,2,3,4
1957,Female,White,Democrat,2,2,2,4,4,2,4
1939,Male,White,Democrat,4,4,4,4,3,4,4
1952,Male,White,Republican,4,4,4,3,4,4,4
1972,Male,White,Independent,4,4,4,2,4,4,4
1968,Male,White,Republican,3,4,4,2,2,2,2
1952,Female,Asian,Democrat,3,3,3,4,4,2,4
1950,Male,White,Republican,4,4,4,3,4,3,3
