state,birth_year,sex,immi_naturalize_2016,gaymar_2016,deathpen_2016,univhealthcov_2016,envwarm_2016,taxdoug_2016,amshamed_2016,gunown_2016
New York,1931,Female,1,1,0,1,1,1,2,0
Arizona,1952,Female,NA,0,1,0,4,2,2,1
Illinois,1931,Male,1,1,1,1,1,1,2,1
Massachusetts,1952,Male,0,NA,1,0,2,2,2,0
California,1939,Female,1,1,NA,1,1,1,1,1
Wisconsin,1944,Male,0,0,1,0,3,3,3,0
Not Asked,1961,Female,1,1,0,1,1,1,1,0
New York,1951,Female,1,1,0,1,1,1,1,1
Kansas,1963,Female,1,1,0,1,1,1,1,1
Nebraska,1947,Female,NA,1,0,1,1,1,1,0
New Mexico,1956,Female,1,1,0,1,1,1,1,1
Massachusetts,1960,Male,1,1,0,1,1,1,1,0
California,1958,Male,0,0,1,0,3,2,4,1
New Hampshire,1942,Male,1,1,0,1,1,1,2,0
Not Asked,1945,Female,0,1,1,1,1,1,2,0
California,1951,Female,0,NA,1,NA,4,1,1,0
Alabama,1947,Female,1,1,0,1,1,1,2,1
Illinois,1948,Male,0,0,1,0,3,2,2,0
New York,1951,Male,0,NA,NA,0,2,2,4,1
Michigan,1962,Female,0,1,NA,0,2,2,4,NA
Arizona,1960,Male,0,0,1,0,2,2,NA,1
California,1948,Male,1,1,0,1,1,1,2,1
Maryland,1957,Female,1,1,1,1,1,1,1,0
Idaho,1939,Male,1,1,0,0,1,1,1,1
Michigan,1952,Male,0,0,1,0,4,2,2,NA
Not Asked,1968,Male,0,0,1,0,4,2,2,0
Oregon,1950,Male,0,0,1,0,4,2,4,1
Arizona,1950,Male,1,1,0,1,1,1,2,1
West Virginia,1972,Male,1,1,1,1,3,3,3,1
Illinois,1940,Male,1,1,0,1,1,1,2,0
California,1958,Male,1,1,1,1,1,1,3,0
Virginia,1961,Female,1,NA,1,NA,1,1,2,0
Virginia,1980,Male,1,1,0,1,1,1,2,0
Minnesota,1955,Female,1,1,0,1,1,1,2,0
Alaska,1972,Male,0,0,1,0,3,2,2,0
California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,1950,Male,1,1,0,1,1,1,1,0
Ohio,1934,Male,NA,1,0,1,2,3,2,0
Massachusetts,1941,Female,NA,0,NA,0,2,3,2,0
California,1952,Male,1,1,0,1,1,1,1,0
California,1955,Male,0,0,1,0,4,1,4,0
California,1944,Male,1,1,0,1,1,1,1,0
Massachusetts,1954,Male,NA,1,NA,1,1,1,2,1
Virginia,1950,Female,0,0,1,0,4,2,4,NA
New Jersey,1950,Male,1,1,1,1,1,1,2,0
Iowa,1940,Male,1,NA,1,1,1,1,2,1
