birth_year,sex,race,party_id,educ_2017,ft_black_2017,ft_white_2017,ft_hisp_2017,ft_asian_2017,ft_muslim_2017,ft_jew_2017,ft_christ_2017,ft_fem_2017,ft_immig_2017,ft_gays_2017,ft_unions_2017,ft_police_2017,ft_altright_2017,ft_evang_2017,ft_dem_2017,ft_rep_2017
1931,Female,White,Democrat,4-year,51,50,79,50,50,50,50,99,95,50,80,76,1,50,88,21
1952,Female,White,Republican,2-year,98,90,95,100,61,100,98,65,96,82,62,95,50,96,86,96
1931,Male,White,Independent,High school graduate,87,90,91,88,49,25,50,74,77,77,100,78,0,2,91,20
1952,Male,White,Republican,4-year,90,85,90,96,80,91,94,25,91,71,20,94,50,70,22,83
1939,Female,White,Democrat,2-year,100,50,100,100,100,100,28,100,100,100,100,28,NA,NA,99,NA
1959,Female,Black,Democrat,Post-grad,98,70,99,100,100,100,100,73,100,54,80,24,4,53,53,4
1944,Male,White,Independent,High school graduate,10,50,26,50,1,50,95,50,1,1,1,95,50,50,1,50
1969,Male,White,Democrat,4-year,56,41,56,71,69,71,70,100,90,100,90,60,0,25,90,10
1961,Female,White,Democrat,2-year,72,70,71,71,71,71,51,100,80,71,81,16,0,6,84,5
1951,Female,White,Independent,Post-grad,77,75,76,76,73,76,42,78,75,79,24,99,7,4,59,23
1968,Male,White,Republican,4-year,75,75,74,74,80,74,77,NA,41,76,24,98,50,75,NA,48
1963,Female,White,Democrat,Post-grad,100,50,100,100,100,100,50,100,81,100,90,50,1,0,100,10
1947,Female,White,Independent,Post-grad,88,84,86,96,71,98,49,100,91,97,84,85,0,NA,100,17
1956,Female,White,Independent,4-year,83,67,88,81,89,70,20,78,80,100,76,51,1,0,60,NA
1960,Male,White,Democrat,4-year,100,100,100,100,100,100,10,89,100,100,89,80,0,2,70,2
1958,Male,White,Republican,4-year,50,80,75,75,3,80,100,30,52,6,20,100,53,100,2,49
1942,Male,White,Independent,4-year,90,90,90,90,90,90,90,90,90,90,90,90,3,70,80,60
1962,Male,White,Republican,Post-grad,9,89,51,66,2,90,52,3,58,4,27,53,92,64,2,86
1945,Female,Hispanic,Democrat,2-year,94,97,100,91,91,99,74,95,99,96,95,96,30,52,98,59
1951,Female,White,Republican,4-year,6,30,30,31,20,10,25,30,7,30,26,30,51,28,20,30
1975,Male,White,Independent,4-year,0,90,79,79,51,25,96,30,80,71,12,95,NA,30,41,11
1961,Male,Asian,Independent,4-year,91,91,91,91,92,91,80,12,91,90,50,80,91,94,22,73
1961,Female,White,Independent,4-year,78,80,75,81,78,84,80,13,77,81,62,91,71,61,27,47
1947,Female,White,Independent,4-year,90,91,90,91,81,100,90,96,95,96,91,91,10,50,90,30
1948,Male,White,Republican,2-year,82,85,85,85,30,85,85,41,72,80,39,85,47,84,51,87
1951,Male,White,Republican,High school graduate,51,51,51,51,31,50,51,21,30,51,31,41,NA,51,1,31
1962,Female,White,Republican,Post-grad,94,94,97,99,69,99,100,39,80,96,53,100,91,80,41,77
1960,Male,White,Independent,2-year,49,69,46,70,31,71,88,13,50,45,26,87,NA,80,16,63
1948,Male,Hispanic,Democrat,4-year,93,75,86,87,90,91,61,82,87,82,89,47,4,27,69,68
1957,Female,White,Democrat,Some college,88,87,94,95,91,96,65,96,87,91,94,90,0,6,89,3
1939,Male,White,Democrat,High school graduate,81,80,80,79,80,75,20,80,81,90,1,90,0,0,92,10
1952,Male,White,Republican,2-year,50,50,50,50,3,50,90,6,50,6,3,84,NA,80,1,84
1968,Male,White,Republican,4-year,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
1950,Male,White,Democrat,4-year,91,90,90,91,90,90,10,100,90,100,80,60,0,0,75,0
1972,Male,White,Independent,Some college,100,100,100,100,100,100,100,80,40,90,70,100,40,100,20,20
1940,Male,White,Democrat,4-year,100,91,100,100,100,100,7,95,100,100,94,61,2,2,90,2
1958,Male,White,Democrat,4-year,81,50,31,100,51,100,100,51,51,100,11,100,NA,2,90,1
1980,Male,White,Democrat,Post-grad,66,74,66,74,68,69,43,80,66,80,69,65,0,31,85,0
1955,Female,White,Independent,Post-grad,52,51,51,51,51,51,51,51,51,52,51,51,4,26,51,31
1972,Male,White,Republican,Post-grad,99,100,100,99,67,93,63,10,67,96,10,100,35,66,75,95
1970,Male,White,Independent,Post-grad,100,84,52,85,45,98,69,1,49,21,1,81,NA,89,1,67
1950,Male,White,Democrat,Post-grad,90,90,95,90,90,95,50,70,90,85,70,85,0,5,95,1
1934,Male,White,Democrat,4-year,99,50,81,98,50,80,80,81,91,81,91,81,41,52,81,36
1941,Female,White,Independent,High school graduate,79,99,81,95,53,93,95,40,80,52,42,98,6,47,80,37
1954,Male,White,Independent,Post-grad,50,50,51,75,25,76,20,76,27,76,26,91,0,1,50,1
1952,Male,Black,Independent,2-year,100,60,74,75,71,70,5,81,67,75,100,70,3,0,75,2
1952,Male,White,Independent,4-year,100,45,100,100,90,97,40,100,100,100,100,80,1,2,56,0
1955,Male,White,Independent,2-year,29,93,70,NA,NA,79,93,NA,NA,60,NA,98,51,77,NA,58
1944,Male,White,Democrat,Post-grad,83,100,100,100,50,50,51,100,100,50,80,66,1,4,80,19
1954,Female,White,Independent,4-year,90,75,75,97,76,75,NA,88,90,99,95,50,NA,1,42,6
1954,Male,White,Independent,Post-grad,70,70,70,71,50,70,70,70,70,90,56,90,6,35,85,35
1950,Male,White,Democrat,4-year,76,54,85,100,54,100,NA,100,84,100,100,76,NA,NA,100,12
1940,Male,White,Democrat,2-year,60,70,64,51,51,50,70,30,55,50,60,80,10,60,65,12
1961,Male,Asian,Independent,Post-grad,73,50,73,99,76,72,13,50,79,50,50,80,3,4,77,8
1967,Female,White,Republican,Post-grad,53,55,55,53,41,79,100,15,38,1,7,99,70,91,8,74
1957,Male,White,Republican,High school graduate,78,96,77,55,28,85,97,NA,46,52,51,99,66,98,2,77
1980,Female,Black,Other,Post-grad,98,37,88,79,91,78,50,97,91,95,92,49,0,30,47,0
1961,Female,White,Democrat,High school graduate,100,100,97,51,100,100,99,51,100,100,100,100,0,1,94,1
1965,Female,Hispanic,Republican,4-year,50,50,53,50,NA,89,100,NA,51,NA,NA,80,51,94,NA,100
1969,Female,White,Democrat,4-year,89,63,88,94,88,87,25,100,84,96,75,56,0,0,94,5
1958,Male,White,Independent,Post-grad,91,91,90,95,6,95,100,2,51,51,71,60,100,100,2,51
